optimizer,loss,epoch,batch_size,learning_rate,idx_repeat,Loss,Accuracy
adam,categorical_crossentropy,250,30,0.001,0,0.2732589840888977,0.9440000057220459
adam,categorical_crossentropy,250,30,0.001,1,nan,0.0714285746216774
adam,categorical_crossentropy,250,30,0.001,2,nan,0.0714285746216774
adam,categorical_crossentropy,250,30,0.0001,0,0.4907769560813904,0.9291428327560425
adam,categorical_crossentropy,250,30,0.0001,1,0.3536364436149597,0.9240000247955322
adam,categorical_crossentropy,250,30,0.0001,2,0.506906270980835,0.9297142624855042
adam,categorical_crossentropy,250,30,1e-05,0,0.29544681310653687,0.9308571219444275
adam,categorical_crossentropy,250,30,1e-05,1,0.3509139120578766,0.8994285464286804
adam,categorical_crossentropy,250,30,1e-05,2,0.27727118134498596,0.9262857437133789
